OV-01,A Grandeza de ser Apostólico
OV-02,Aldo é os eu nome
OV-03,Assim é o amor do Irmão Aldo
OV-04,Arca Divina
OV-05,Adoração ao poder celeste
OV-06,Adoração e Gratidão
OV-07,Agradecimento e louvou ao céus
OV-08,A real inspiração  (Orq)
OV-09,Barco seguro (Orq)
OV-10,Chamado para luz
OV-11,Deus do infinito(Dueto/Orq)
OV-12,Esta igreja é como o sol a brilhar
OV-13,Família Apostólica
OV-14,Fiel amigo meu
OV-15,Guarda a tua coroa
OV-16,Grande benção (Orq)
OV-17,Glorioso céu de luz
OV-18,Igreja da verdade
OV-19,Igreja pura (Orq)
OV-20,Iremos morar com Jesus(solo e Orq)
OV-21,Jardim colorido
OV-22,Louvor o teu natal
OV-23,Louvor a Santa vó Rosa(solo e Orq)
OV-24,Mão poderosa
OV-25,Meu Anjo da Guarda(Orq)
OV-26,Missão do messias(Orq)
OV-27,Força da Fé
OV-28,O poder do pai
OV-29,Onipotente profeta
OV-30,Para servir com santidade(solo e Orq)
OV-31,Porta do céu(Orq)
OV-32,Quero teu nome louvar(solo e Orq)
OV-33,Razão da minha vida(solo e Orq)
OV-34,Sede imitadores (Orq),,
OV-35,Templo do consolador(Orq),,
OV-36,Vem a jesus,,
OV-37,Vem conhecer o irmão Aldo (Orq),,
OV-38,Sempre conosco estão(Orq),,
OV-39,Oh como é bom (Orq),,
OV-40,,Vou Morar com meu Senhor (Orq),
OV-41,,Nossa Vó Rosa é Santa (Camerata),
OV-42,Quem vem lá,,
OV-43,Meu ministério (Orq),,
OV-44,,,
OV-45,,,
OV-46,,,
OV-47,,,
OV-48,,,
OV-49,,,
OV-50,,,
OV-51,,,
OV-52,,,
OV-53,,,
OV-54,,,
OV-55,,,
OV-56,,,
OV-57,,,
OV-58,,,
OV-59,,,
OV-60,,,
